Vessel,Type,Size,Fishcapacity,FuelCapacity,FuelPerDay,Speed,TripLengthSWF,TripLengthTUNA,MAXDaysInSea,OwnerOperated,OwnerEthnicity,RevenueShare,HookSWF,HookTUNA,Crew,FixedCost,WagePerDay,OperatingCostSWF,OperatingCostTUNA,TravelCost,NetWork,CPUE_SWF_BYT,CPUE_SWF_YFT,CPUE_SWF_SWF,CPUE_SWF_OTHER,CPUE_TUNA_BYT,CPUE_TUNA_YFT,CPUE_TUNA_SWF,CPUE_TUNA_OTHER,PRICE_TUNA_BYT,PRICE_TUNA_YFT,PRICE_TUNA_SWF,PRICE_TUNA_OTHER,PRICE_SWF_BYT,PRICE_SWF_YFT,PRICE_SWF_SWF,PRICE_SWF_OTHER,IPUE_LOG,IPUE_LTH,MaxRevenue
40,T,3,251256,5730,234,252,0,20,33,0,0,0,0,2.15688,0,0,289.82,419.852,419.852,569.78,11,-9999,-9999,-9999,-9999,-82.22,-206.819,-3.416,-192.679,0.07807,0.21896,0.22374,0.34556,0.07807,0.21896,0.22374,0.34556,1,1,82362
41,T,2,165300,4628,170,288,0,18,30,0,0,0,0,2.46377,0,0,493.44,346.405,346.405,514.71,79,-9999,-9999,-9999,-9999,-136.47,-191.283,-0.8,-186.307,-0.11589,-0.02563,0.32552,0.08922,-0.11589,-0.02563,0.32552,0.08922,1,1,97215
42,T,3,297540,5540,234,252,0,20,32,0,0,0,0,2.64245,0,0,493.518,434.049,434.049,565.09,39,-9999,-9999,-9999,-9999,-182.26,-210.831,-7.346,-197.893,0.16891,0.21988,0.04528,0.12713,0.16891,0.21988,0.04528,0.12713,1,1,99733
43,T,1,79344,2542,117,297.6,0,18,25,0,0,0,0,1.90989,0,0,380.242,371.778,371.778,275.686,107,-9999,-9999,-9999,-9999,-197.69,-215.627,-11.845,-204.363,-0.29084,0.13094,-0.66653,0.12857,-0.29084,0.13094,-0.66653,0.12857,1,1,68216
44,T,2,90364,2025,149,309.6,0,20,34,0,0,0,0,1.96609,0,0,377.45,375.752,375.752,202.54,74,-9999,-9999,-9999,-9999,-172.1,-209.518,-11.091,-190.745,0.06763,0.61005,-0.20065,0.07849,0.06763,0.61005,-0.20065,0.07849,1,1,72446
45,M,2,105792,10465,170,304.8,33,18,33,0,0,0,0.74321,1.87189,0,0,213.26,451.255,451.255,634.25,104,-133.446,-14.375,-1506.05,-20.993,-211.1,-219.449,-3.737,-90.976,-0.30683,0.00215,-0.20022,-0.03706,-1.29693,0.2211,-0.31037,-0.86902,1,1,64520
46,T,1,68324,2336,98,285.6,0,17,30,0,0,0,0,1.96678,0,0,380.242,371.778,371.778,275.686,35,-9999,-9999,-9999,-9999,-152.95,-209.314,-9.469,-212.516,-0.01293,0.02098,-0.55347,-0.00906,-0.01293,0.02098,-0.55347,-0.00906,1,1,100627
47,T,3,83752,5020,255,276,0,19,53,0,0,0,0,2.64582,0,0,744.54,419.805,419.805,526.51,20,-9999,-9999,-9999,-9999,-105.37,-195.512,-4.996,-166.523,0.20319,0.41406,0.4856,0.119,0.20319,0.41406,0.4856,0.119,1,1,116321
48,T,2,116812,2436,170,247.2,0,17,26,0,0,0,0,1.86124,0,0,295.51,308.333,308.333,285.71,30,-9999,-9999,-9999,-9999,-255,-208.73,-5.002,-120.147,-0.06632,0.33972,0.17638,-0.01286,-0.06632,0.33972,0.17638,-0.01286,1,1,50643
49,T,2,187340,4320,319,312,0,20,35,0,0,0,0,2.80885,0,0,424.54,406.784,406.784,433.592,21,-9999,-9999,-9999,-9999,-104.95,-210.91,-4.031,-193.296,0.2047,-0.01152,0.41778,0.08549,0.2047,-0.01152,0.41778,0.08549,1,1,115387
50,M,2,114608,4473,149,297.6,24,21,29,0,0,0,0.80613,1.99251,0,0,536.21,469.394,469.394,372.73,87,-173.692,-14.553,-673.91,-381.452,-190.13,-204.972,-5.547,-153.616,-0.04471,0.00803,0.01911,0.2417,-0.55165,-0.8296,-0.22506,0.2819,1,1,72113
51,T,2,165300,3904,170,288,0,20,34,0,0,0,0,2.07707,0,0,502.79,464.634,464.634,398.26,7,-9999,-9999,-9999,-9999,-180.17,-203.556,-7.932,-152.261,0.22668,0.39449,-0.28019,0.14568,0.22668,0.39449,-0.28019,0.14568,1,1,67859
52,M,3,189544,11634,230,285.6,37,22,37,0,0,0,0.89695,1.97045,0,0,467.933,602.903,602.903,628.879,76,-119.413,-4.755,-934.55,-246.687,-117.64,-209.593,-4.326,-132.22,-0.13823,0.38242,0.42518,0.03872,0.21175,-0.68441,-0.14199,-0.04719,1,1,116765
53,T,2,257868,4716,425,319.2,0,21,59,0,0,0,0,2.68856,0,0,588.38,464.688,464.688,452.26,77,-9999,-9999,-9999,-9999,-162.23,-210.436,-6.612,-188.84,-0.06865,0.20864,-0.03848,0.16128,-0.06865,0.20864,-0.03848,0.16128,1,1,151780
54,T,2,101384,3307,128,290.4,0,22,29,0,0,0,0,1.73013,0,0,476.16,294.095,294.095,297.97,10,-9999,-9999,-9999,-9999,-122.62,-223.438,-7.76,-191.424,-0.35104,-0.19336,-0.26079,0.05739,-0.35104,-0.19336,-0.26079,0.05739,1,1,94901
55,M,2,110200,3036,149,302.4,20,17,25,0,0,0,0.70111,1.87065,0,0,521.61,293.478,293.478,303.58,15,-93.728,-8.281,-262.98,-233.601,-130.18,-183.896,-4.18,-139.121,-0.14682,0.27077,0.04928,0.18586,1.27647,-2.56614,0.37653,0.97819,1,1,77878
56,M,2,193952,12442,170,266.4,53,23,53,0,0,0,0.88257,2.09652,0,0,355.67,643.886,643.886,469.51,65,-165.296,-8.755,-545.35,-245.087,-114.73,-197.837,-6.007,-126.433,-0.36412,0.09181,0.17675,-0.08558,0.07259,0.68348,-0.08753,0.17019,1,1,144304
57,T,2,130036,3550,170,297.6,0,19,27,0,0,0,0,2.14861,0,0,408.84,492.632,492.632,382.44,44,-9999,-9999,-9999,-9999,-154.75,-206.087,-4.706,-128.91,0.32343,0.45391,-0.28944,-0.03502,0.32343,0.45391,-0.28944,-0.03502,1,1,96695
58,T,2,121220,4410,149,288,0,19,29,0,0,0,0,1.91928,0,0,277.72,268.557,268.557,452.53,46,-9999,-9999,-9999,-9999,-179.27,-203.797,-11.242,-196.715,-0.1933,-0.12573,-0.63944,0.0066,-0.1933,-0.12573,-0.63944,0.0066,1,1,58043
59,T,2,158688,4045,172,249.6,0,22,32,0,0,0,0,2.06892,0,0,303.97,310.933,310.933,363.81,29,-9999,-9999,-9999,-9999,-201.57,-211.978,-10.186,-170.849,-0.37696,-0.1896,-0.05016,0.01444,-0.37696,-0.1896,-0.05016,0.01444,1,1,76572
60,T,2,158688,3387,164,264,0,19,26,0,0,0,0,1.92594,0,0,327.08,334.848,334.848,353.31,58,-9999,-9999,-9999,-9999,-200.88,-215.084,-5.287,-162.641,-0.35612,0.43682,-0.08908,0.00687,-0.35612,0.43682,-0.08908,0.00687,1,1,73718
61,M,2,158688,6137,183,278.4,28,20,29,0,0,0,0.7946,1.88224,0,0,439.37,535.342,535.342,438.36,103,-157.097,-29.397,-1058.93,-261.125,-157.57,-203.119,-7.92,-122.891,-0.09737,0.33262,-0.1537,-0.05615,-1.04042,-1.97807,0.00002,-0.24023,1,1,81598
62,T,2,123424,6223,149,283.2,0,24,35,0,0,0,0,2.10355,0,0,360.22,539.409,539.409,524.82,101,-9999,-9999,-9999,-9999,-246.01,-197.83,-5.085,-173.015,-0.37732,-0.05279,-0.01957,-0.08829,-0.37732,-0.05279,-0.01957,-0.08829,1,1,101516
63,T,2,156484,4246,170,288,0,18,28,0,0,0,0,1.86893,0,0,490.56,561.502,561.502,478.5,69,-9999,-9999,-9999,-9999,-160.37,-219.646,-4.03,-122.645,0.03312,0.11756,0.04198,0.09956,0.03312,0.11756,0.04198,0.09956,1,1,97422
64,M,2,156484,5715,191,288,39,21,39,0,0,0,0.73313,1.82298,0,0,514.4,294.943,294.943,293.1,54,-160.613,14.905,-370.92,-266.342,-46.15,-193.367,-7.36,-136.977,-0.29954,0.28855,-0.12471,0.02102,-0.40692,-0.79506,-0.1681,0.43842,1,1,124766
65,T,2,127832,5507,155,288,0,17,29,0,0,0,0,2.0204,0,0,282.06,623.074,623.074,637.11,43,-9999,-9999,-9999,-9999,-166.45,-209.697,-7.075,-197.378,0.07196,0.08725,-0.12803,0.05506,0.07196,0.08725,-0.12803,0.05506,1,1,95127
66,M,2,158688,8859,214,302.4,37,22,37,0,0,0,0.89712,2.03779,0,0,273.26,509.454,509.454,478.87,62,-146.38,-16.942,-1567.4,-282.815,-179.5,-215.235,-7.731,-153.067,-0.13252,0.20167,0.06441,0.00823,0.39585,-2.58149,-0.27859,0.24171,1,1,93637
67,T,2,123424,1951,170,288,0,9,12,0,0,0,0,2.11577,0,0,424.54,406.784,406.784,433.592,112,-9999,-9999,-9999,-9999,-242.01,-263.612,-3.613,-221.833,0.62567,0.55305,-0.47677,-0.14145,0.62567,0.55305,-0.47677,-0.14145,1,1,33502
68,T,2,127832,3452,155,288,0,22,34,0,0,0,0,1.80016,0,0,404.69,317.826,317.826,313.04,47,-9999,-9999,-9999,-9999,-167.39,-227.149,-4.081,-201.975,-0.47109,0.00816,-0.10908,0.1177,-0.47109,0.00816,-0.10908,0.1177,1,1,61244
69,M,2,127832,2483,170,302.4,16,17,27,0,0,0,0.78092,2.09647,0,0,452.6,516.089,516.089,285.08,89,-125.154,-1.781,-804.34,-130.141,-205.51,-191.861,-11.314,-100.495,0.09562,0.43992,-0.3257,0.1494,0.93345,-2.62598,-0.2598,0.6221,1,1,88875
70,T,3,187340,4598,206,271.2,0,18,31,0,0,0,0,1.99454,0,0,183.19,451.724,451.724,502.36,1,-9999,-9999,-9999,-9999,-213.32,-204.86,-10.28,-187.71,-0.16833,0.02923,-0.39739,0.02603,-0.16833,0.02923,-0.39739,0.02603,1,1,59407
71,T,2,178524,4266,170,252,0,18,48,0,0,0,0,2.00325,0,0,406.73,388.117,388.117,474.48,95,-9999,-9999,-9999,-9999,-178.77,-215.813,-13.244,-195.141,-0.17495,-0.11095,-0.93498,0.02376,-0.17495,-0.11095,-0.93498,0.02376,1,1,64264
72,M,3,260072,14779,276,247.2,47,23,47,0,0,0,0.79301,2.0321,0,0,467.933,602.903,602.903,628.879,82,-138.138,-9.817,-734.96,-253.508,-122.24,-210.497,-6.677,-132.149,-0.21083,0.23934,-0.04606,0.07581,0.3041,-0.00651,0.0766,-0.04546,1,1,134994
73,T,2,123424,3964,170,288,0,18,27,0,0,0,0,1.93842,0,0,363.81,359.993,359.993,444.07,113,-9999,-9999,-9999,-9999,-209.93,-198.046,-11.689,-189.72,-0.2698,0.20885,-0.73563,0.06874,-0.2698,0.20885,-0.73563,0.06874,1,1,55373
74,T,3,295336,9119,285,235.2,29,23,36,0,0,0,0.765,2.38381,0,0,467.933,602.903,602.903,628.879,76,0,7.536,-1295.8,0,-201.46,-198.254,-14.587,-156.698,-0.33865,0.65644,0.21604,0.13303,-1.2066,-0.58919,0.34807,0.33364,1,1,110030
75,M,2,180728,9640,213,280.8,39,21,39,0,0,0,0.838,2.11488,0,0,427.56,593.193,593.193,494.34,68,-170.311,-4.16,-1248.43,-274.633,-105.85,-197.174,-8.039,-160.067,-0.44207,-0.07144,0.30372,-0.10688,-0.02226,-0.49064,-0.1288,0.1965,1,1,133467
76,T,2,180728,3758,255,309.6,0,18,27,0,0,0,0,1.92249,0,0,193,411.806,411.806,412.81,49,-9999,-9999,-9999,-9999,-144.56,-202.705,-10.31,-167.391,-0.27182,0.11602,-0.28542,0.13469,-0.27182,0.11602,-0.28542,0.13469,1,1,136289
77,T,2,143260,3179,191,302.4,0,18,33,0,0,0,0,1.85522,0,0,328.02,508.916,508.916,346.99,100,-9999,-9999,-9999,-9999,-144.77,-203.31,-6.205,-145.179,-0.22068,-0.24905,-0.34697,-0.05215,-0.22068,-0.24905,-0.34697,-0.05215,1,1,80753
78,M,3,176320,12649,149,240,42,22,42,0,0,0,0.92319,2.07735,0,0,316.79,607.414,607.414,602.33,25,-152.429,4.335,-1065.06,-164.303,-213.89,-201.063,-7.424,-144.689,-0.15156,0.2215,0.268,-0.13616,0.67269,0.52698,-0.40863,-0.07101,1,1,132066
79,T,2,167504,4359,170,288,0,20,26,0,0,0,0,1.98529,0,0,424.54,406.784,406.784,433.592,26,-9999,-9999,-9999,-9999,-96.67,-189.883,-1.369,-75.036,-0.48484,0.07088,0.46808,-0.01548,-0.48484,0.07088,0.46808,-0.01548,1,1,96097
80,T,3,215992,4565,214,259.2,0,20,34,0,0,0,0,2.11671,0,0,353.04,476.65,476.65,455.79,44,-9999,-9999,-9999,-9999,-131.43,-205.516,-7.651,-142.371,-0.18869,0.28778,0.1416,0.1211,-0.18869,0.28778,0.1416,0.1211,1,1,124370
81,M,3,178524,12640,191,249.6,39,21,39,0,0,0,0.74197,1.92065,0,0,213.38,468.348,468.348,648.21,90,-137.839,-12.396,-874.28,-209.619,-163.19,-196.405,-4.664,-149.198,-0.27897,0.16421,-0.1305,0.00402,-0.10068,-0.24503,-0.76247,-0.43443,1,1,115863
82,T,3,178524,3686,221,266.4,0,18,28,0,0,0,0,2.21949,0,0,365.21,332.056,332.056,414.33,52,-9999,-9999,-9999,-9999,-121.98,-216.71,-9.501,-186.526,-0.20293,-0.05058,-0.60068,0.01662,-0.20293,-0.05058,-0.60068,0.01662,1,1,130853
83,T,3,260072,4962,234,252,0,23,41,0,0,0,0,2.68757,0,0,604.72,333.25,333.25,428.57,31,-9999,-9999,-9999,-9999,-177.24,-199.483,-6.317,-218.216,-0.25695,-0.18688,0.07915,0.05307,-0.25695,-0.18688,0.07915,0.05307,1,1,118428
84,M,3,251256,23269,310,266.4,74,23,74,0,0,0,0.88206,1.94419,0,0,467.933,602.903,602.903,628.879,12,-145.702,-5.104,-727,-236.751,-103.08,-204.439,-4.62,-64.289,-0.08381,0.22141,-0.01441,0.04863,0.16001,-0.26983,-0.07729,0.23804,1,1,150702
85,T,3,260072,10399,234,252,0,21,32,0,0,0,0,2.74805,0,0,722.58,448.889,448.889,977.78,48,-9999,-9999,-9999,-9999,-124.76,-197.89,-6.222,-170.764,-0.17337,0.06738,0.42364,-0.05636,-0.17337,0.06738,0.42364,-0.05636,1,1,120520
86,M,3,218196,15765,276,271.2,43,21,43,0,0,0,0.85604,2.24778,0,0,425.3,706.263,706.263,733.26,16,-124.848,-3.108,-1283.92,-294.86,-192.86,-201.204,-5.922,-158.903,-0.04153,0.25547,-0.18639,0.06669,-0.1191,0.22856,-0.09492,0.44457,1,1,121963
87,M,3,240236,16283,149,189.6,48,24,48,0,0,0,0.82376,2.23349,0,0,632.18,654.962,654.962,678.47,96,-102.674,3.734,-875.81,-244.737,-155.54,-205.639,-5.236,-172.212,-0.07399,-0.12779,0.23271,0.02909,-0.48687,0.11568,-0.20772,0.04261,1,1,145572
88,T,3,264480,4823,255,254.4,0,19,28,0,0,0,0,1.91279,0,0,346.26,818.34,818.34,519.68,82,-9999,-9999,-9999,-9999,-137.29,-206.915,-6.817,-106.521,0.16971,0.56195,-0.16002,0.0602,0.16971,0.56195,-0.16002,0.0602,1,1,125931
89,T,3,99180,6337,234,252,0,22,32,0,0,0,0,2.82341,0,0,493.518,434.049,434.049,565.09,114,-9999,-9999,-9999,-9999,-65.32,-212.567,-9.14,-227.534,-0.04462,-1.65935,-0.3855,0.39294,-0.04462,-1.65935,-0.3855,0.39294,1,1,135991
90,M,3,249052,7531,170,196.8,28,19,28,0,0,0,1.06729,2.77416,0,0,765.74,655.04,655.04,537.9,105,-89.368,-9.99,-1738.07,-200.252,-107.79,-182.382,-6.134,-152.72,0.42473,0.31995,0.46454,0.21219,0.101,0.39966,-0.35505,-0.63553,1,1,143834
