JulianDay,BYT,YFT,SWF,OTHER
187,3.49,2.99,2.81,1.73
188,4.2,3.8,2.89,1.85
189,3.46,3.09,2.56,1.72
190,3.54,3.39,2.45,2.03
191,4.26,4.26,2.42,1.93
192,3.67,2.74,2.57,1.84
193,4.01,3.49,2.5,1.95
194,3.71,3.2,2.66,1.99
195,3.9,3.14,2.68,1.95
196,3.81,3.21,2.39,1.96
197,3.74,2.56,2.49,2.09
198,5.23,3.3,2.85,1.83
199,4.23,3.9,2.76,1.88
200,4.09,2.8,2.53,2
201,4.06,3.66,2.52,2.02
202,4.37,3.46,2.47,2.04
203,4.48,3.13,2.35,1.96
204,4.16,3.56,2.57,2.06
205,4.68,3.73,2.21,1.97
206,4.45,3.59,2.45,1.97
207,3.91,3.1,2.5,1.74
208,3.94,3.13,2.28,1.88
209,4.03,3.76,2.98,1.8
210,4.18,2.65,2.67,1.84
211,3.96,2.71,2.63,1.65
212,3.77,2.93,2.4,1.67
213,4.95,3.87,2.72,1.9
214,4.06,3.85,2.94,1.69
215,4.35,3.64,2.73,1.85
216,4.2,3.02,3.22,1.94
217,4.69,3.86,3.17,2
218,4.32,3.26,3.07,2.14
219,4.56,3.74,2.65,2.06
220,4.85,3.8,2.88,2.06
221,5.51,4.82,2.55,1.92
222,4.5,3.61,2.99,1.95
223,4.3,3.18,2.96,1.96
224,4.86,3.91,2.59,2.07
225,4.22,2.88,2.18,1.72
226,4.93,4.26,2.93,2.24
227,4.73,3.46,2.51,2
228,5.25,4.54,3.18,2.32
229,4.75,3.08,3.35,2.19
230,4.52,3.79,2.9,2.07
231,5.14,3.85,3.24,2.22
232,4.91,4.23,2.52,2.16
233,5.34,4.41,3.52,2.33
234,5.21,3.87,2.8,1.95
235,5,4.47,2.98,1.9
236,4.31,3.4,2.91,1.99
237,4.28,3.13,3.04,1.99
238,4.09,2.85,2.83,2.07
239,4.06,2.62,2.87,1.71
240,3.12,2.17,2.8,1.5
241,3.37,2.64,2.98,1.37
242,3.14,2.44,2.78,1.59
243,3.55,2.15,2.55,1.69
244,3.82,2.19,2.71,1.69
245,2.71,2.22,2.99,1.34
246,2.86,1.92,3.03,1.22
247,3.42,2.44,3.13,1.54
248,3.7,2.71,2.99,1.6
249,3.95,3.11,2.94,1.59
250,3.46,2.53,3.04,1.46
251,3.76,2.85,2.39,1.49
252,3.49,2.17,2.13,1.7
253,3.51,2.43,3.01,1.43
254,3.74,2.89,3.23,1.44
255,3.46,2.74,3.57,1.5
256,3.41,2.64,2.84,1.47
257,3.56,2.87,2.3,1.64
258,3.27,2.32,2.87,1.43
259,3.53,2.71,3.06,1.31
260,3.2,2.45,2.86,1.39
261,2.98,2.12,3.1,1.3
262,3.49,3,3.65,1.42
263,3.17,2.37,3.47,1.39
264,3.29,2.42,2.59,1.5
265,3.09,2.4,3.16,1.61
266,3.45,2.17,3.13,1.68
267,3.81,2.88,2.72,1.72
268,3.99,3.03,3.12,1.77
269,3.98,2.98,2.96,1.74
270,4.09,2.32,3.32,1.72
271,3.53,2.71,2.92,1.73
272,3.77,2.59,2.46,1.75
273,3.71,2.54,2.88,1.6
274,3.43,2.71,2.94,1.9
275,3.79,2.82,3.67,1.73
276,3.68,2.59,2.59,1.68
277,3.82,2.69,3,1.95
278,3.49,2.37,2.79,1.67
279,3.29,2.35,2.72,1.51
280,3.55,2.45,2.24,1.42
281,2.9,2,2.49,1.67
282,3.51,2.5,3.11,1.76
283,3.49,2.75,2.77,1.59
284,3.07,2.31,3.2,1.51
285,3.19,2.52,2.99,1.56
286,2.93,1.92,2.08,1.53
287,3.44,2.55,2.33,1.5
288,3.35,2.67,2.44,1.82
289,3.68,2.22,2.61,1.58
290,3.76,2.97,3.01,1.63
291,3.47,2.51,2.75,1.62
292,3.66,2.61,2.99,1.68
293,3.57,2.32,2.28,1.86
294,3.25,2.41,2.85,1.71
295,3.26,2.7,2.61,1.74
296,2.91,2.12,2.86,1.39
297,3.18,2.23,2.23,1.45
298,2.52,1.58,2.9,1.41
299,2.52,1.75,2.54,1.29
