"","id","Longitude","Latitude","Area","OceanRegionCode","IsHome","SWF_BYT","SWF_YFT","SWF_SWF","SWF_OTHER","TUNA_BYT","TUNA_YFT","TUNA_SWF","TUNA_OTHER","SWF_LOG","SWF_LTH","TUNA_LOG","TUNA_LTH"
"1083",1083,137,24,2,"EPO",0,-9999,-9999,-9999,-9999,179.126798073958,72.2491264008987,43.8551327661973,235.255558405205,0,0,0,0
"1084",1084,138,24,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1085",1085,139,24,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1086",1086,140,24,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1087",1087,141,24,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1088",1088,142,24,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1089",1089,143,24,2,"EPO",0,-9999,-9999,-9999,-9999,492.050818087889,157.757744442854,61.6872401627133,392.886101449246,0,0,0,0
"1090",1090,144,24,2,"EPO",0,-9999,-9999,-9999,-9999,684.251057609482,66.7074124380768,46.9888116004877,270.425844494147,0,0,0,0
"1091",1091,145,24,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1092",1092,146,24,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1093",1093,147,24,2,"EPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1094",1094,148,24,2,"EPO",0,-9999,-9999,-9999,-9999,220.492955429845,40.1645035044408,48.2940098690949,280.973194848093,0,0,0,0
"1095",1095,149,24,2,"EPO",0,-9999,-9999,-9999,-9999,303.85452302399,242.613156557668,13.4111764629729,314.727278853063,0,0,0,0
"1096",1096,150,24,2,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1097",1097,151,24,2,"WCPO",0,-9999,-9999,-9999,-9999,378.805751218685,149.202241567106,56.4697046284179,271.119546055688,0,0,0,0
"1098",1098,152,24,2,"WCPO",0,134.358955038265,-83.5161306887048,54.4940025843334,-0.856297591742745,-9999,-9999,-9999,-9999,0,0,0,0
"1099",1099,153,24,1,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1100",1100,154,24,1,"WCPO",0,-9999,-9999,-9999,-9999,409.359816868213,238.536201510876,37.162771248732,246.32728131095,0.008702,0,0,0
"1101",1101,155,24,2,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.008702,0,0,0
"1102",1102,156,24,1,"WCPO",0,-9999,-9999,-9999,-9999,341.343676439792,208.267993876634,12.6218990770655,392.279755477311,0.008702,0,0,0
"1103",1103,157,24,1,"WCPO",0,-9999,-9999,-9999,-9999,708.760202343243,122.293112183353,51.8429179456252,230.273099037753,0.008702,0,0,0
"1104",1104,158,24,1,"WCPO",0,-9999,-9999,-9999,-9999,740.423075542873,44.9752195300076,68.0913490761026,413.669741595158,0.011229,0,0,0
"1105",1105,159,24,1,"WCPO",0,204.471110051817,51.2126103272371,1311.44565658394,-49.4944439291077,665.117867946233,-10.1089623022993,60.3340254439678,399.928573809288,0.011229,0,0,0
"1106",1106,160,24,1,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.011229,0,0,0
"1107",1107,161,24,1,"WCPO",0,-11.9207115322131,83.2939502952574,-806.838655324224,263.2447702144,-9999,-9999,-9999,-9999,0.011229,0,0,0
"1108",1108,162,24,1,"WCPO",0,-9999,-9999,-9999,-9999,497.184313552616,99.7234459191479,-3.89167503031346,369.473779048742,0,0,0,0
"1109",1109,163,24,4,"WCPO",0,-9999,-9999,-9999,-9999,414.765642083502,161.459770998995,44.8769603084344,406.840599574671,0,0,0,0
"1110",1110,164,24,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1111",1111,165,24,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1112",1112,166,24,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1113",1113,167,24,4,"WCPO",0,-9999,-9999,-9999,-9999,478.171507969469,81.1610465816968,49.0581350232674,488.129908287056,0,0,0,0
"1114",1114,168,24,4,"WCPO",0,-9999,-9999,-9999,-9999,514.856707358026,91.756904468355,23.6055030546291,314.306142096141,0,0,0,0
"1115",1115,169,24,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1116",1116,170,24,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1117",1117,171,24,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1118",1118,172,24,4,"WCPO",0,11.485454330361,142.665703217095,675.950992300109,45.3689477730168,393.539120468091,161.528167349521,81.2275747943081,290.280096960029,0,0,0,0
"1119",1119,173,24,4,"WCPO",0,-9999,-9999,-9999,-9999,384.823848369952,164.076491918418,27.6656109885952,257.982752109506,0,0,0,0
"1120",1120,174,24,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1121",1121,175,24,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1122",1122,176,24,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1123",1123,177,24,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1124",1124,178,24,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1125",1125,179,24,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1126",1126,135,25,2,"EPO",0,-9999,-9999,-9999,-9999,371.631260031097,285.763394002083,46.0623740298058,410.193086790876,0,0,0,0
