id,Longitude,Latitude,Area,OceanRegionCode,IsHome,SWF_BYT,SWF_YFT,SWF_SWF,SWF_OTHER,TUNA_BYT,TUNA_YFT,TUNA_SWF,TUNA_OTHER,SWF_LOG,SWF_LTH,TUNA_LOG,TUNA_LTH,GridAggregationID
18,152,0,5,WCPO,0,-9999,-9999,-9999,-9999,482.2635118,94.61121824,35.03572653,407.3274568,0,0,0,0,6
19,153,0,5,WCPO,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,7
20,154,0,5,WCPO,0,178.8975273,34.50549413,457.7311817,193.4761736,271.7807822,266.0040416,31.94668863,395.7895201,0,0,0,0,7
21,155,0,5,WCPO,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,7
22,156,0,5,WCPO,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,8
23,157,0,5,WCPO,0,-9999,-9999,-9999,-9999,473.2940125,66.73335589,52.13012364,284.7225478,0,0,0,0,8
24,158,0,5,WCPO,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,8
25,159,0,5,WCPO,0,-9999,-9999,-9999,-9999,351.7063472,196.2892706,-4.460720387,177.432487,0,0,0,0,9
26,160,0,5,WCPO,0,-9999,-9999,-9999,-9999,538.4838544,100.512751,39.11210949,157.5384735,0,0,0,0,9
27,161,0,5,WCPO,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,9
28,162,0,5,WCPO,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,10
29,163,0,5,WCPO,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,10
30,164,0,5,WCPO,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,10
31,165,0,5,WCPO,0,165.6523684,16.87265203,582.2243668,-61.39183137,-9999,-9999,-9999,-9999,0,0,0,0,11
32,166,0,5,WCPO,0,188.4600139,36.23500213,718.7037358,152.3885927,503.3762914,8.642522151,25.17919455,425.8281111,0,0,0,0,11
33,167,0,5,WCPO,0,-9999,-9999,-9999,-9999,451.9607561,98.35073956,51.43575348,404.9042896,0,0,0,0,11
34,168,0,5,WCPO,0,-9999,-9999,-9999,-9999,585.8001435,29.50074452,68.11576553,240.5018804,0,0,0,0,12
35,169,0,5,WCPO,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,12
36,170,0,5,WCPO,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,12
37,171,0,5,WCPO,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,13
38,172,0,5,WCPO,0,160.981086,-22.44284791,1784.539398,77.53481102,-9999,-9999,-9999,-9999,0,0,0,0,13
39,173,0,5,WCPO,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,13
40,174,0,5,WCPO,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,14
41,175,0,5,WCPO,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,14
